Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼,IB001e‑00128,Eötvös Informatika Műhely IV.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00129,Számítógépes beszédelemzés,,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00228,Eötvös Informatika Műhely V.,,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00229,Tehetséggondozás: Eötvös Informatika Műhely V.,,Kötelezően választható,Előadás,2,,1,,,,,,,,,,,,,,,
◼◼◼,IB001e‑00230,Eötvös Informatika Műhely V. (tehetséggondozás),,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB001e‑10112,Számítógépes szemantika,,Kötelezően választható,Előadás,1,,2,,,,,,,,,,,,,,,
◼◼◼,IB001g‑10112,Számítógépes szemantika,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB001piE,Speciálkollégium 1. (ea_pti),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB001piE,Logisztika I.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001piE‑00002,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (haladó),,Kötelezően választható,"Előadás, Labor","1,2",,3,,,,,,,,,,,,,,,
◼◼◼,IB001piE‑00003,"C++ a gyakorlatban, hálózati alkalmazásfejlesztés",,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB001piE‑00001,Integrált Vállalatirányítási Rendszer,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB011E,Speciálkollégium 11. (ea),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB011e‑00001,Optimalizálási modellek ea,,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB011E,UX Design,,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB002e,Speciálkollégium 2. (ea+gy),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB002e‑00004,A Maple számítógép-algebrai rendszer,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00001,Fejlett programozás II.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00002,Speciális kurzus: ERASMUS előadás,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e,Számítógépes látás,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00003,Diszkrét algoritmusok Maple-ben,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00006,Ellátási lánc és ütemezés modellek a gyakorlatban,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00007,Bevezetés a mélytanulásba,,Kötelezően választható,Előadás,1,,2,,,,,,,,,,,,,,,
◼◼◼,IB002e‑00008,Progressive Web Alkalmazás fejlesztés TypeScriptben,,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼,TE‑IB002g,Speciálkollégium 2. (ea+gy),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB002g‑00005,Számítógépes látás gyak.,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g,Diszkrét algoritmusok Maple-ben gyak.,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00001,Speciális kurzus: ERASMUS gyakorlat,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00004,A Maple számítógép-algebrai rendszer gyak.,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00002,Algoritmusok és adatszerkezetek I. gyakorlat,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00003,Fejlett programozás II. gyak.,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00006,Ellátási lánc és ütemezés modellek a gyakorlatban,,Kötelezően választható,Gyakorlat,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00007,Bevezetés a mélytanulásba,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB002g‑00008,Progressive Web Alkalmazás fejlesztés TypeScriptben,,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,TE‑IB003e,Speciálkollégium 3. (ea+lab),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB003e‑00013,Adatbázisok elmélete,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00012,Bonyolultságelmélet,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00008,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00009,Modellellenőrző szoftverek,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00011,Digitális technika,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00001,Vállalati információs rendszerek,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00014,Angular 2 - a jövő alkalmazás-platformja előadás,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00006,Operációkutatás II.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00002,Fejlett programozás I.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00005,Speciális kurzus: ERASMUS előadás,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e,Programozás Visual Studio .NET C#-ban,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00004,Rendszerfejlesztés I.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00007,Mesterséges intelligencia I.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00010,Web tervezés,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00003,Algoritmusok és adatszerkezetek I.,,Kötelezően választható,Előadás,2,,4,,,,,,,,,,,,,,,
◼◼◼,IB003e‑00015,Nagyvállalati rendszerek integrációs problémáinak kezelése Magic xpi-vel,,Kötelezően választható,"Előadás, Labor","1,2",,3,,,,,,,,,,,,,,,
◼◼,TE‑IB003l,Speciálkollégium 3. (ea+lab),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB003l‑00004,Modellellenőrző szoftverek gyak,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00012,Programozás Visual Studio .NET C#-ban gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00009,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00002,Adatbázisok elmélete gyakorlat,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00007,Digitális technika gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00006,Web tervezés gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00003,Bonyolultságelmélet gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00010,Operációkutatás II. gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00005,Mesterséges intelligencia I. gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00014,Angular 2 - a jövő alkalmazás-platformja labor,,Kötelezően választható,Labor,1,,1,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00013,Rendszerfejlesztés I. gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00001,Fejlett programozás I. gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00011,Speciális kurzus: ERASMUS laborgyakorlat,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00008,Vállalati információs rendszerek gyak.,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l,Algoritmusok és adatszerkezetek I. gyakorlat,,Kötelezően választható,Labor,1,,0,,,,,,,,,,,,,,,
◼◼◼,IB003l‑00015,Nagyvállalati rendszerek integrációs problémáinak kezelése Magic xpi-vel labor,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB004e,Speciálkollégium 4. (ea+lab_2),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB004e‑00007,Offenzív biztonsági gyakorlatok II.,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00009,Inform. hálózatépítô (Cisco) I/A,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00001,Informatikai biztonság ea.,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00005,"Mobil alkalmazás fejlesztés (iOS, WP7, Android)",,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB688E,Inform. hálózatépítô (Cisco) I/A,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00002,Inform. hálózatépítô (Cisco) II.,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00006,Offenzív biztonsági gyakorlatok I. előadás,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00008,Szoftvertesztelés alapjai,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00004,Beágyazott rendszerek,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00010,A .NET keretrendszer 3.5 új technológiái,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e‑00003,Speciális kurzus: ERASMUS előadás,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB004e,Statisztikai szoftverek,,Kötelezően választható,Előadás,2,,5,,,,,,,,,,,,,,,
◼◼◼,IB689E,Inform. hálózatépítô (Cisco) II.,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB004g,Speciálkollégium 4. (ea+lab_2),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB004g‑00001,"Mobil alkalmazás fejlesztés (iOS, WP7, Android) gyak",,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00004,Informatikai biztonság lab.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00005,Beágyazott rendszerek gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00002,Inform. hálózatépítô (Cisco) I/B,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00007,Speciális kurzus: ERASMUS gyakorlat,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB688L,Inform. hálózatépítô (Cisco) I/B,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB004g,A .NET keretrendszer 3.5 új technológiái gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00008,Inform. hálózatépítô (Cisco) II. gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00009,Statisztikai szoftverek gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00006,Offenzív biztonsági gyakorlatok I. gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00003,Szoftvertesztelés alapjai gyak.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB004g‑00010,Offenzív biztonsági gyakorlatok II. gyakorlat,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB689L,Inform. hálózatépítô (Cisco) II. gyak.,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB003piE,Speciálkollégium 3. (ea+lab_pti),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB003piE‑00001,Telemedicina,,Kötelezően választható,Előadás,1,,3,,,,,,,,,,,,,,,
◼◼◼,IB003piE,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),,Kötelezően választható,Előadás,1,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB003piL,Speciálkollégium 3. (ea+lab_pti),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB003piL‑00002,Telemedicina gyakorlat,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB003piL,Ügyviteli rendszerek hatékony fejlesztése Magic xpa-val mobilos funkciókkal kiegészítve (kezdő),,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼◼,IB003piL‑00001,Telemedicina lab.,,Kötelezően választható,Labor,2,,0,,,,,,,,,,,,,,,
◼◼,TE‑IB006L,Speciálkollégium 6. (lab),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB006L‑00003,Statisztika gyakorlati alkalmazásai,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼◼,IB006L‑00004,Ethernet alapú helyi és városi hálózatok,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼◼,IB006L‑00005,Külföldi Szakmai Gyakorlat,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼◼,IB006L‑00001,Kooperatív képzés,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼◼,IB006L‑00002,Forgalomirányítás IP alapú hálózatokban,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼◼,IB006L,PLC verseny felkészítés labor,,Kötelezően választható,Labor,4,,4,,,,,,,,,,,,,,,
◼◼,TE‑IB009L,Speciálkollégium 9. (lab),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB009L‑00008,Áramkörök tervezése és megvalósítása,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L,Speciálkollégium 9. (lab),,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00006,Optimalizálási problémák és algoritmusok a navigációban (NNG),,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00005,"Tudományos diákköri tevékenység, tehetséggondozás",,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00004,Műszaki alapismeretek labor,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00012,Többplatformos alkalmazás-fejlesztés Xamarinnal,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00010,Beágyazott rendszerek alapjai,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00002,Firefox OS,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00007,Enterprise Java fejlesztés,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00001,Középhaladó LabVIEW programozás (CLAD),,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00003,Szoftverminőség-biztosítási rendszerek a szoftverfejlesztésben,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00011,Követelménymenedzsment gyak.,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB009L‑00013,API-k és mikroszolgáltatások,,Kötelezően választható,Labor,2,,2,,,,,,,,,,,,,,,
◼◼◼,IB078G,Játékfejleszés Unity-ben,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB010e,Speciálkollégium 10. (ea),,Kötelezően választható,,,,,0,,,,,,,,,,,,,,
◼◼◼,IB010e,Gépi tanulás a gyakorlatban,,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼,TE‑IB001g‑00037,Szoftvertesztelés gyakorlata (gy),,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼,IB001g‑00037,Szoftvertesztelés gyakorlata (gy),,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,IB001miE‑00004,Autóiparban alkalmazott mikrovezérlők,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IBT009E,Modellezés a Matlabban,,Kötelezően választható,,,,,,,1,,,,,,,,,,,,
◼◼◼,IBT009E,Modellezés a Matlabban (tehetséggondozó program),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB081,Heterogén szoftverfejlesztés alkalmazott technológiái,,Kötelezően választható,,,,,3,,2,,,,,,,,,,,,
◼◼◼,IB081e,Heterogén szoftverfejlesztés alkalmazott technológiái,,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,IB081g,Heterogén szoftverfejlesztés alkalmazott technológiái,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB082,IT Élet – Mi vár rád a munkahelyen?,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼,IB082e,IT Élet – Mi vár rád a munkahelyen?,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB083,Keresztplatformos mobilfejlesztés,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼,IB083g,Keresztplatformos mobilfejlesztés,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB084,Igazságügyi képelemzés,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼,IB084e,Igazságügyi képelemzés,,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB079,3D vizuális adatok elemzése,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼,IB079E,3D vizuális adatok elemzése,,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB086,Szoftvertermékek fejlesztési folyamatai és esettanulmányok,,Kötelezően választható,,,,,,,,,,,,,,,,,,,
◼◼◼,IB086E,Szoftvertermékek fejlesztési folyamatai és esettanulmányok,,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,IB086G,Szoftvertermékek fejlesztési folyamatai és esettanulmányok gyakorlat,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB087,Spring Üzleti Alkalmazások Fejlesztése,,Kötelezően választható,,,,,,,,,,,,,,,,,,,
◼◼◼,IB087E,Spring Üzleti Alkalmazások Fejlesztése,,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
◼◼◼,IB087G,Spring Üzleti Alkalmazások Fejlesztése gyakorlat,,Kötelezően választható,Gyakorlat,2,,2,,,,,,,,,,,,,,,
◼,MK‑TEGO,Tehetséggondozó technikai kurzusok,,Kötelezően választható,,,,,1,,,,,,,,,,,,,,
◼◼,TT‑IBT203,Tehetséggondozás: Operációkutatás I.,,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼,IBT203G,Tehetséggondozás: Operációkutatás I.,2,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT301G,Tehetséggondozás: Közelítő és szimbolikus számítások I.,3,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT507G,Tehetséggondozás: Bonyolultságelmélet,5,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT042G,Tehetséggondozás: Digitális képfeldolgozás (tehetséggondozó program),6,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT403G,Tehetséggondozás: Formális nyelvek (tehetséggondozó program),4,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT604G,Tehetséggondozás: Logika és informatikai alkalmazásai (tehetséggondozó program),2,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT402G,Tehetséggondozás: Operációs rendszerek,2,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT202G,Tehetséggondozás: Programozás I.,2,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT155G,Tehetséggondozás: Számítógépes grafika,5,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT304G,Tehetséggondozás: Algoritmusok és adatszerkezetek I.,3,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT154G,Tehetséggondozás: Mesterséges intelligencia,5,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,IBT007E,Nyelv- és beszédfeldolgozás (tehetséggondozó program),,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,IBT618G,Tehetséggondozás: Irányítástechnika,,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,TE‑IBT512E,Számítástudomány alapjai (tehetséggondozó program),,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼,IBT512G,Tehetséggondozás: Számítástudomány alapjai,,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼◼,TE‑IBT104L,Tehetséggondozás: Programozás alapjai,,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼,IBT104L,Tehetséggondozás: Programozás alapjai,1,Kötelezően választható,Gyakorlat,1,,1,,,,,,,,,,,,,,,
◼,MK‑S‑SZF,Szoftverfejlesztés specializáció,,Kötelezően választható,,,,,52,,,,,,,,,,,,,,
◼◼,MK‑S‑SZF‑MATSZT,Szoftverfejlesztés - differenciált matematikai és számítástudományi ismeretek,,Kötelező,,,,,14,,,,,,,,,,,,,,
◼◼◼,MK‑S‑SZF‑MATSZT‑A,Szoftverfejlesztés - ajánlott matematikai és számítástudományi ismeretek,,Kötelező,,,,,11,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK112E,Diszkrét matematika II.,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK112E,Diszkrét matematika II.,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK112G,Diszkrét matematika II.,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK112G,Diszkrét matematika II.,2,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK114E,Diszkrét matematika III.,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK114E,Diszkrét matematika III.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK114G,Diszkrét matematika III.,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK114G,Diszkrét matematika III.,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK313E,Kalkulus II.,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK313E,Kalkulus II.,3,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑MBNXK313G,Kalkulus II.,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼◼,MBNXK313G,Kalkulus II.,3,Kötelezően választható,Gyakorlat,2,,3,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IBK404E,Algoritmusok és adatszerkezetek II.,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,IBK404E,Algoritmusok és adatszerkezetek II.,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IBK404G,Algoritmusok és adatszerkezetek II.,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,IBK404G,Algoritmusok és adatszerkezetek II.,4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IBK615E,Hardware és software rendszerek verifikációja,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,IBK615E,Hardware és software rendszerek verifikációja,4,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IBK615G,Hardware és software rendszerek verifikációja,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼◼,IBK615G,Hardware és software rendszerek verifikációja,4,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IBK309,Döntéselméleti rendszerek,,Kötelezően választható,,,,,4,,2,,,,,,,,,,,,
◼◼◼◼◼,IBK309E,Döntéselméleti rendszerek,2,Kötelezően választható,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼◼◼◼,IBK309G,Döntéselméleti rendszerek gyakorlat,2,Kötelezően választható,Gyakorlat,1,,2,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IB077E,Funkcionális programozás és lambda kalkulus,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼◼,IB077E,Funkcionális programozás és lambda-kalkulus,4,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IB076e,Új elvű számítások az informatikában,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼◼,IB076e,Új elvű számítások az informatikában,2,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼◼◼,TE‑IB001e‑00075,Szintaktikus elemzési módszerek,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
