Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼,IB402g,Operációs rendszerek gyak.,2,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼◼,IB402g‑00003,Operációs rendszerek gyak. (tehetséggondozó program),2,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB104,Programozás alapjai,,Kötelező,,,,8,8,2,,,,,,,,,,,,,
◼◼,TE‑IB104E,Programozás alapjai,1,Kötelező,,,,4,4,,1,,,,,,,,,,,,
◼◼◼,IB104E,Programozás alapjai,1,Kötelező,Előadás,4,,4,,,,,,,,,,,,,,,
◼◼,TE‑IB104L,Programozás alapjai,1,Kötelező,,,,4,4,,1,,,,,,,,,,,,
◼◼◼,IB104L,Programozás alapjai gyak.,1,Kötelező,Labor,3,,4,,,,,,,,,,,,,,,
◼,TT‑IB162,Számítógép architektúrák,1,Kötelező,,,,3,3,1,,,,,,,,,,,,,
◼◼,TE‑IB162E,Számítógép architektúrák,1,Kötelező,,,,3,3,,1,,,,,,,,,,,,
◼◼◼,IB162E,Számítógép architektúrák,1,Kötelező,Előadás,2,,3,,,,,,,,,,,,,,,
◼,TT‑IB204,Programozás I.,2,Kötelező,,,,6,6,2,,,,,,,,,,,,,
◼◼,TE‑IB204E,Programozás I.,2,Kötelező,,,,3,3,,1,,,,,,,,,,,,
◼◼◼,IB204E,Programozás I. (tehetséggondozó program),2,Kötelezően választható,Előadás,3,,3,,,,,,,,,,,,,,,
◼◼◼,IB204E‑00001,Programozás I.,2,Kötelezően választható,Előadás,3,,3,,,,,,,,,,,,,,,
◼◼,TE‑IB204L,Programozás I.,2,Kötelező,,,,3,3,,1,,,,,,,,,,,,
◼◼◼,IB204L‑00001,Programozás I. gyak. (tehetséggondozó program),2,Kötelezően választható,Labor,2,,3,,,,,,,,,,,,,,,
◼◼◼,IB204L,Programozás I. gyak.,2,Kötelezően választható,Labor,2,,3,,,,,,,,,,,,,,,
◼,TT‑IB302,Programozás II.,3,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB302e,Programozás II.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB302e,Programozás II.,3,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
◼◼,TE‑IB302g,Programozás II.,3,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB302g,Programozás II. gyak.,3,Kötelező,Labor,1,,2,,,,,,,,,,,,,,,
◼,TT‑IB407,Számítógép-hálózatok,,Kötelező,,,,4,4,2,,,,,,,,,,,,,
◼◼,TE‑IB407e,Számítógép-hálózatok,1,Kötelező,,,,2,2,,1,,,,,,,,,,,,
◼◼◼,IB407e,Számítógép hálózatok,1,Kötelező,Előadás,2,,2,,,,,,,,,,,,,,,
