,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼◼◼,GSZV00‑00206,Nemzeti parkjaink földtudományi értékei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00343,FOL GeoKenu IX.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00012,"Talajtan, talajvédelem",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00010,EGH Városi közterületek humán komfort vizsgálata 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00267,EGH Földrajzi tanulmányút 1. Görögország,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00382,ASV A Kárpátok gerincén,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00056,„Vulcan 24” vulkanológiai (és művészettörténeti) tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00163,SZV - Geomarketing,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00272,Regionális természeti földrajz I. EA,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00119,Pénzügyi ismeretek a turizmusban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00183,GAF Borturizmus - Tokaj-Hegyalja,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00090,Regionális földtan,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00240,Kulturális örökségünk,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00239,GAF Kul-túra 1.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00136,TEF Választott (KÖRNYEZETKUTATÓ szakirány) terepgyakorlat 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00055,EGH Belső-Ázsia klimatikus geográfiai viszonyai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00423,EGH Ökozónák a Földön,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00328,LEV Urbanizáció (k),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00174,TEF Land issues in the age of globalisational,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00346,Erdődinamikai vizsgálatok az Aggteleki-karszton,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00069,EGH Földrajzi tanulmányút 2. Görögország TÖRÖLT!!!,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00115,GAF Kul-túra 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00339,GAF Kul-túra,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00217,FOL GeoRaffting I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00425,A Villányi és a Pécsi borvidék borturizmusa,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00426,A Tokaji borvidék borturizmusa,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00427,A Kiskunság kulturális turizmusa,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00428,Temesvár kulturális turizmusa,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00429,A Felső-Pannon borrégió borturizmusa,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00430,Arad kulturális turizmusa ,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00431,Az Egri borvidék borturizmusa ,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00432,A Kárpát-medence hegységei és tájai a valóságban – A Retyezát-hegység,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00433,A Kárpát-medence hegységei és tájai a valóságban – A Bihar-hegység,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00434,Paleohidrológiai alapok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00435,A Szekszárdi borvidék borturizmusa ,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,GSZV00‑00436,Tolna megye kulturális turizmusa ,,Szabadon választható,Előadás,2,,2,,,,
◼,TT‑ISZV00,Informatika SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑ISZV00,Informatika SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00058,Osztott számítások gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00030,Fejlett programozás II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00187,Logika és informatikai alkalmazásai gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00072,"Informatika, számítástechnika I.",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00076,Programcsomagok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00021,Adatbázis alapú rendszerek gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00074,L Multimédia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00096,Mesterséges intelligencia II. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00116,Operációkutatás I. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00010,Logikai programozás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00125,Robotika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00040,Robotika gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00049,Mesterséges intelligencia II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00182,Multimédia gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00037,Kombinatórikus optimalizálás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00141,Osztott számítások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00171,Válogatott fejezetek az op.kut.-ból,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00031,Alkalmazás fejlesztés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00080,Operációs rendszerek gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00057,Kombinatorikus optimalizálás gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00115,Adatbázis alapú rendszerek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00136,Fejlett programozás II. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00194,Assembly programozás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00144,Optimalizálás alkalmazásai gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00143,MCP vizsgafelkészítő tanfolyam - Application Development Foundation (70-536),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00019,Válogatott fejezetek az op.kut.-ból gyak.,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00045,Hallgatói mozgalom a XX. század végén II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00060,Algoritmusok és adatszerkezetek II. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00118,Formális nyelvek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00146,Képfeldolgozás I. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00184,L Multimédia gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00114,Logikai programozás gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00155,Közelítő és szimbólikus számítások II. gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00005,Logika és informatikai alkalmazásai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00174,Fordítóprogramok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00042,Programozás I. gyak.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00196,Élményalapú oktatás az EPAM-mal,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00197,Ismerkedés a Scratch játékos programnyelvvel (Epam kurzus),,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,ISZV00‑00199,Scratch tananyag készítés,,Szabadon választható,Gyakorlat,2,,2,,,,
◼,TT‑KSZV00,Kémia SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑KSZV00,Kémia SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00105,Szakmai gyakorlat - Summer School (Norvégia),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00093,Alternatív energiaforrások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0066E,Kvantumkorszakok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00045,Fémes elemek kémiája gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00222,Fizikai kémia 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00257,Fizikai kémia gyakorlat 1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00213,Bioszervetlen kémia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00142,Radiokémia biológusoknak laboratórium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00263,Mérési eredmények számítógépes kiértékelése és bemutatása,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00150,Kémia és a társművészetek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00057,"Autóverseny csapat, SZTE motorsport",,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0064E,Víz- és szennyvízkezelés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00155,A szerves kémiai alapjai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00126,"SZTE Motorsport, autóverseny csapat",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00092,Fizikai kémia gyakorlat 3,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00136,Molekuláris statisztika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0069,"Hulladékkezelés, hulladékgazdálkodás",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00014,"Autóverseny csapat, SZTE motorsport (kompozit)",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00218,"Elektrokémiai eljárások, korrózióvédelem",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0054,Veszélyes anyagok a környezetünkben,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00230,Fizikai kémia 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00074,Fizikai kémia 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00076,Fémes elemek kémiája laboratórium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00258,Szakmai gyakorlat (Norvégia) Egyéni kurzus,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00157,Kémia alapozó gyakorlat I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00096,Analitikai kémia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0068,Ipari baleseti esettanulmányok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00035,Molekuláris statisztika gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00106,Mindennapjaink kémiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0070,"Grafitszálak, szén-nanocsövek (szv)",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00049,SZTE Autóverseny csapat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00046,Analitikai kémia laboratórium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00122,Virtuális laboratórium és virtuális mérések gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00051,Kémiai technológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00125,Fizikai kémia 3,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00128,Kémiai termodinamika gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00121,Röntgendiffraktometria,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00101,Kolloidika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00130,Kémiai termodinamika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00067,Kémiai számítások 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00177,Fémes elemek kémiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00028,Radiokémia biológusoknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0060,Kémiai Nobel-díjasok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00082,Kémiai műhely Eötvös-kollégistáknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00010,A kutatási eredmények gyakorlati hasznosításának tudományos és üzleti módszerei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00225,A mindennapok kémiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV00‑00065,Klinikai vizsgálatok szervezése és koordinációja,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0270E,Lézerkémia,,Szabadon választható,Gyakorlat,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KSZV0271G,Lézerkémia gyakorlat,,Szabadon választható,Gyakorlat,2,,2,,,,
◼,TT‑KtudSZ,Környezettudományi SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑KtudSZ,Környezettudományi SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00039,Az ózon kémiája,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00020,Fémionok a természetben,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00037,Nanotechnológiai és anyagvizsgáló laboratórium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00032,EGH Éghajlati változások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00008,Fejezetek a biotechnológiából 2,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00033,Környezetvédelmi és minőségügyi szaknyelvi kurzus II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00004,EGH Karsztforrások vizsgálata a Mecsekben,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00018,EGH Karsztos tájvizsgálatok terepi napokkal,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ,Levegő és gáztisztitás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00021,Kolloid részecskék és polielektrolitok vizes rendszerei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00030,Környezeti katalízis,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00027,Nagyhatékonyságú oxidációs eljárások a környezeti kémiában,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00035,Nagyműszeres (külső) laboratóriumi gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00012,"EGH Komplex terepi vizsgálatok az Aggteleki-karszton (klíma, hidrológia, vegetáció) 1.",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00028,"EGH Komplex terepi vizsgálatok az Aggteleki-karszton (klíma, hidrológia, vegetáció) 2.",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00014,SZV - Nemzeti parkok I. (Európa),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00015,EGH Karsztökológia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00040,Zeolitkémia és katalízis,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00001,EGH Terepklíma és helyszínfelmérés,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00010,Nagyhatékonyságú oxidációs eljárások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00009,"Víztisztítás, szenyvíztisztítás",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00002,"EGH Karsztmorfológia, karsztökológia",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00034,Audiovizuális kémiai gyakorlatok angol nyelven,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00036,Alternatív energiaforrások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00023,Fejezetek a biotechnológiából1,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00013,EGH Fejezetek a földrajz történetéből,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00025,"EGH A Gömör-Tornai-karszt barlangjai, természeti és kulturális értékei",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00026,SZV - Latin-Amerika,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00016,Nanofázisú rendszerek az anyagtudományban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00024,EGH Tengertan térképész szemmel,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00007,EGH Terepi élőhelytérképezés alföldi tájtípusokban,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00011,"EGH Komplex terepi vizsgálatok az Aggteleki-karszton (klíma, hidrológia, vegetáció)",,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00022,Környezetvédelmi és minőségügyi szaknyelvi kurzus I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00003,Katalitikus oxidációs eljárások,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00005,Atomspektroszkópia,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00031,EGH Komplex tájökológiai terepi vizsgálatok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00038,Fejezetek a biotechnológiából,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00006,Vegyipari baleseti esettanulmányok,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00017,TEF Mecseki tanulmányút,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00029,EGH 3D-s városfelmérés mikroklíma vizsgálatokhoz,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,KtudSZ‑00019,Biokolloidok,,Szabadon választható,Előadás,2,,2,,,,
◼,TT‑MSZV00,Matematika SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑MSZV00,Matematika SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00018,Bevezetés a disztribucióelméletbe I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00040,Eötvös-esték speciálkollégium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00147,Differenciálegyenletek a középiskolában II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00100,ÜZENET: ANNOTÁCIÓ! Fejezetek a matematika kultúrtörténetéből,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00089,Problémamegoldási stratégiák a matematikában I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00085,Algebra és geometria 2.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00104,Algebra szigorlat (mattan),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00116,Eötvös-esték II. évad I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00061,Kalkulus fizikusoknak 2. gyakorlat,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00060,Diszkrét matematika II. (B),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00112,Félcsoportelmélet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00094,Eötvös-esték VI. évad II.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00026,Komplex és valós függvénytan,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00084,Differenciálgeometria (matkus),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00030,A demonstrátori munka módszerei,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00114,Reprezentációelmélet és alkalmazásai,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00013,A sztochasztika alapjai (B),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00135,IRATKOZZON LE! LEVELEZŐ KURZUS!) Fejezetek a matematika kultúrtörténetéből,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00086,SPEC.KOLL.CIM PONTOSITAS: Topologikus csoportok reprezentációi,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00120,Geometriai érdekességek,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00011,Bevezetés a disztribució elméletbe I.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00055,Differenciálegyenletek és numerikus megoldásuk gy.,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,MSZV00‑00155,Stabilitás- és bifurkációelmélet,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
