,,,,,,,,,,,,
Mérnökinformatikus BSc_N (2017) [BSZKMEI-N1] mintatanterv,,,,,,,,,,,,
,,,,,,,,,,,,
,Sorkód ,Név ,Félév ,Felvétel típus ,Kurustípus ,Heti óraszám ,Féléves óraszám ,Kredit ,Ebből teljesítendő kredit ,Teljesítendő csoport ,Teljesítendő tárgy ,Előfeltétel
◼,TT‑FBN509,Elektronika laboratóriumi gyakorlatok,3,Kötelező,,,,4,4,1,,
◼◼,TE‑FBN509L,Elektronika laboratóriumi gyakorlatok,3,Kötelező,,,,4,4,,1,
,,,,,,,,,,,,
◼◼◼,FBN509L,Elektronika laboratóriumi gyakorlatok,3,Kötelező,Labor,4,,4,,,,
◼,TT‑FBN609,Digitális laboratóriumi gyakorlatok,4,Kötelező,,,,4,4,1,,
◼◼,TE‑FBN609L,Digitális laboratóriumi gyakorlatok,4,Kötelező,,,,4,4,,1,
,,,,,,,,,,,,
◼◼◼,FBN609L‑00002,Digitális laboratóriumi gyakorlatok,4,Kötelező,Labor,4,,4,,,,
◼,TT‑IB317,Jelek és rendszerek,,Kötelező,,,,5,5,2,,
◼◼,TE‑IB317E,Jelek és rendszerek,3,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB317E,Jelek és rendszerek,3,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑IB317L,Jelek és rendszerek,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB317L,Jelek és rendszerek gyak.,3,Kötelező,Labor,2,,2,,,,
◼,TT‑IB618,Irányítástechnika,,Kötelező,,,,5,5,2,,
◼◼,TE‑IB618E,Irányítástechnika,4,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB618E,Irányítástechnika,4,Kötelezően választható,Előadás,2,,3,,,,
,,,,,,,,,,,,
◼◼◼,IB618E‑00001,Irányítástechnika (Tehetséggondozó program),4,Kötelezően választható,Előadás,2,,3,,,,
◼◼,TE‑IB618L,Irányítástechnika,4,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB618L,Irányítástechnika gyakorlat (Tehetséggondozó program),4,Kötelezően választható,Labor,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB618L‑00001,Irányítástechnika gyakorlat,4,Kötelezően választható,Labor,2,,2,,,,
◼,TT‑IB313,Mérés és adatgyűjtés,,Kötelező,,,,5,5,2,,
◼◼,TE‑IB313E,Mérés és adatgyűjtés,4,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB313E,Mérés és adatgyűjtés,4,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑IB313L,Mérés és adatgyűjtés laboratóriumi gyakorlat,4,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB313L,Mérés és adatgyűjtés laboratóriumi gyakorlat,4,Kötelező,Labor,2,,2,,,,
◼,TT‑IB571,Távközlő hálózatok,5,Kötelező,,,,3,3,1,,
◼◼,TE‑IB571,Távközlő hálózatok,5,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB571,Távközlő hálózatok,5,Kötelező,Előadás,2,,3,,,,
◼,TT‑IB155,Számítógépes grafika,,Kötelező,,,,4,4,2,,
◼◼,TE‑IB155e,Számítógépes grafika,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB155e‑00002,Számítógépes grafika,5,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB155e,Számítógépes grafika (Tehetséggondozó),5,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB155e‑00001,Számítógépes grafika (tehetséggondozó program),5,Kötelezően választható,Előadás,2,,2,,,,
◼◼,TE‑IB155l,Számítógépes grafika,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB155l‑00001,Számítógépes grafika gyak. (tehetséggondozó program),5,Kötelezően választható,Labor,1,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB155l,Számítógépes grafika gyak.,5,Kötelezően választható,Labor,1,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB155l‑00002,Számítógépes grafika gyak. (tehetséggondozó),5,Kötelezően választható,Labor,1,,2,,,,
◼,TT‑IB104,Programozás alapjai,,Kötelező,,,,8,8,2,,
◼◼,TE‑IB104E,Programozás alapjai,1,Kötelező,,,,4,4,,1,
,,,,,,,,,,,,
◼◼◼,IB104miE,Programozás alapjai,1,Kötelező,Előadás,4,,4,,,,
◼◼,TE‑IB104L,Programozás alapjai,1,Kötelező,,,,4,4,,1,
,,,,,,,,,,,,
◼◼◼,IB104miL,Programozás alapjai gyak.,1,Kötelező,Labor,3,,4,,,,
◼,TT‑IB315,Mikrovezérlők alkalmazástechnikája,,Kötelező,,,,5,5,2,,
◼◼,TE‑IB315E,Mikrovezérlők alkalmazástechnikája,4,Kötelező,,,,3,3,,1,
,,,,,,,,,,,,
◼◼◼,IB315E,Mikrovezérlők alkalmazástechnikája,4,Kötelező,Előadás,2,,3,,,,
◼◼,TE‑IB315L,Mikrovezérlők alkalmazástechnikája laboratóriumi gyakorlat,4,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB315L,Mikrovezérlők alkalmazástechnikája laboratóriumi gyakorlat,5,Kötelező,Labor,2,,2,,,,
◼,TT‑IB402,Operációs rendszerek,2,Kötelező,,,,4,4,2,,
◼◼,TE‑IB402e,Operációs rendszerek,2,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB402e‑00001,Operációs rendszerek (tehetséggondozó program),2,Kötelezően választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB402e,Operációs rendszerek,2,Kötelezően választható,Előadás,2,,2,,,,
◼◼,TE‑IB402g,Operációs rendszerek,2,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB402g‑00001,Operációs rendszerek gyak.,2,Kötelezően választható,Labor,1,,2,,,,
,,,,,,,,,,,,
◼◼◼,IB402g‑00003,Operációs rendszerek gyak. (tehetséggondozó program),2,Kötelezően választható,Labor,1,,2,,,,
◼,TT‑IB407,Számítógép-hálózatok,,Kötelező,,,,4,4,2,,
◼◼,TE‑IB407e,Számítógép-hálózatok,1,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB407miE,Számítógép hálózatok,1,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑IB407g,Számítógép-hálózatok,1,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB407miG,Számítógép hálózatok,1,Kötelező,Gyakorlat,1,,2,,,,
◼,TT‑IB153,Rendszerfejlesztés I.,,Kötelező,,,,4,4,2,,
◼◼,TE‑IB153e,Rendszerfejlesztés I.,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB153e,Rendszerfejlesztés I.,5,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑IB153l,Rendszerfejlesztés I.,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB153l,Rendszerfejlesztés I. gyak.,5,Kötelező,Labor,1,,2,,,,
◼,TT‑IBK154,Mesterséges intelligencia I.,,Kötelező,,,,4,4,2,,
◼◼,TE‑IBK154E,Mesterséges intelligencia I.,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IBK154E,Mesterséges intelligencia I.,5,Kötelező,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,IBK154E‑00001,Mesterséges intelligencia I. (tehetséggondozó program),5,Kötelezően választható,Előadás,2,,2,,,,
◼◼,TE‑IBK154G,Mesterséges intelligencia I.,5,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IBK154G,Mesterséges intelligencia I. gyakorlat,5,Kötelező,Gyakorlat,1,,2,,,,
,,,,,,,,,,,,
◼◼◼,IBK154G‑00001,Mesterséges intelligencia I. gyakorlat (tehetséggondozó program),5,Kötelezően választható,Gyakorlat,1,,2,,,,
◼,TT‑IB501,Adatbázisok,3,Kötelező,,,,4,4,2,,
◼◼,TE‑IB501e,Adatbázisok,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB501e,Adatbázisok,3,Kötelező,Előadás,2,,2,,,,
◼◼,TE‑IB501g,Adatbázisok,3,Kötelező,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,IB501g‑00002,Adatbázisok gyakorlat,3,Kötelező,Labor,1,,2,,,,
,MK‑SZV,Szabadon választott,,Szabadon választható,,,,10,10,,,
◼,TT‑BSZV00,Biológia SZV,,Nincs megadva,,,,0,0,,,
◼◼,TE‑BSZV00,Biológia SZV,,Szabadon választható,,,,2,2,,1,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00325,molekuláris biológia 2 BSc szeminárium,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00248,Biostatisztika haladóknak,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00155,Az agykéreg kutatás új eredményei szeminárium 3,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00328,Társadalom és természetvédelem: Natura 2000 tervek társadalmi egyeztetése,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00192,Állatrendszertan 2. gyak (lev.),,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00070,Neuronális és gliális plaszticitás,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
◼◼◼,BSZV00‑00243,Human paleopathology and paleoepidemiology,,Szabadon választható,Előadás,2,,2,,,,
,,,,,,,,,,,,
